"available","availableText","brand","ean","endedDate","image","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2"
,,,,,,"Flanders, New Jersey, United States","185316345929",,"6999.99","US $6,999.99","njcollectibles07",,"","ALEXANDER OVECHKIN 2005 PSA 10 ROOKIE THREADS SP U.D. RC JERSEY POP 5 🐐🏆⬆(NJC)","Sports Trading Card",,"https://www.ebay.com/itm/185316345929",,,"Ships from United States","15 watchers",
,,,,,,"Ancaster, Ontario, Canada","225049555902",,"6995","US $6,995.00","sloth55",,"","1966-67 TOPPS HOCKEY #35 BOBBY ORR ROOKIE  RC -   PSA 2  GOOD (SLOTH55)","Sports Trading Card",,"https://www.ebay.com/itm/225049555902",,,"11 watchers",,
,,,,,,"Carlsbad, California, United States","284662468064",,"7000","US $7,000.00","ccman2525",,"","Derek Jeter 2004 Ultimate Collection Signature Number JSY Patch Auto 1/2 PSA 10!","Sports Trading Card",,"https://www.ebay.com/itm/284662468064",,,"Ships from United States","5 watchers",
,,"NBA",,,,"Hillsborough, New Jersey, United States","225150609939",,"6950","US $6,950.00","duke1776",,"","2017 Panini Select MAGIC JOHNSON Courtside Zebra Prizm #297 PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/225150609939",,,"Ships from United States",,
,,,,,,"SAINT-HUBERT, Canada","125607400721",,"7000","US $7,000.00","bgl_27",,"","2016-17 SP Authentic Auston Matthews  Future Watch RC Auto /999 True Gem BGS 9.5","Sports Trading Card",,"https://www.ebay.com/itm/125607400721",,,"15 watchers",,
,,,,,,"Newton Center, Massachusetts, United States","173979510781",,"6999","US $6,999.00","abbar09",,"","2017 Bowman Chrome Auto Blue Refractor Keston Hiura BGS 10 Pristine BLACK LABEL!","Sports Trading Card",,"https://www.ebay.com/itm/173979510781",,,"Ships from United States","9 watchers",
,,,,,,"Deepdene,Victoria , Australia","275430382139",,"9999","AU $9,999.00","pickandpopculture",,"","2018-19 Panini Donruss Trae Young Rated Rookie Yellow Laser 01/25 RC BGS 9 W/ 10","Sports Trading Card",,"https://www.ebay.com/itm/275430382139",,,,,
,,,,,,"Saint-Leonard, Quebec, Canada","185462109510",,"9500","C $9,500.00","patrick54_2009",,"","1971 OPC # 148 Guy Lafleur RC PSA 7  + Authentic Signature. Centred!! Unique!!","Sports Trading Card",,"https://www.ebay.com/itm/185462109510",,,"5 watchers",,
,,,,,,"Saint-Leonard, Quebec, Canada","184729772986",,"9500","C $9,500.00","patrick54_2009",,"","1952-53 PARKHURST , #88, GORDIE HOWE, PSA 5 (EX), Best Centred  AND VERY  CLEAN.","Sports Trading Card",,"https://www.ebay.com/itm/184729772986",,,"21 watchers",,
,,,,,,"Cold Spring, New York, United States","295035611059",,"6999.99","US $6,999.99","bubblebathgirl",,"","1979 Topps #9 Dave Campbell - Braves - PSA 10 - 04699612 - Pop 2 - Baseball Card","Sports Trading Card",,"https://www.ebay.com/itm/295035611059",,,"Ships from United States",,
,,,,,,"Wainwright, Alberta, Canada","184603333898",,"9500","C $9,500.00","tonydm27",,"","2005/06 Upper Deck Near Master set Rookie Crosby 9.5 Ovechkin 8.5 + Inserts","Sports Trading Card",,"https://www.ebay.com/itm/184603333898",,,"Ships from Canada","6 watchers",
,,,,,,"Erie, Pennsylvania, United States","175358314774",,"7000","US $7,000.00","revolutionnutrition",,"","Michael Jordan 1986-87 Fleer #57 Rookie Card BGS 8 NM-MT Nice Centering RC","Sports Trading Card","Does not apply","https://www.ebay.com/itm/175358314774",,,"Returns accepted","Ships from United States","14 watchers"
