"available","availableText","brand","ean","endedDate","itemLocation","itemNumber","mpn","price","priceWithCurrency","seller","sold","subTitle","title","type","upc","url","wasPrice","wasPriceWithCurrency","whyToBuy/0","whyToBuy/1","whyToBuy/2","whyToBuy/3"
,,,,,"guangzhou, China","334642972929",,"1000","C $1,000.00","kaiji22",,"","2020 Panini Prizm choice Prizm Green Magic Johnson 8/8 Psa 9",,,"https://www.ebay.com/itm/334642972929",,,,,,
,,,,,"Haverhill, Massachusetts, United States","174824787794",,"799.66","US $799.66","brockton75",,"","2012 Panini Prizm /499 Chandler Jones #246 Rookie Auto bgs 10",,,"https://www.ebay.com/itm/174824787794",,,"Ships from United States",,,
,,,,,"Dalhousie, New Brunswick, Canada","314242979907",,"195.75","US $195.75","beardentoys",,"","1991-92 UD *FRENCH* #674 SAMI KAPANEN (rc) PSA 10 GEM MT Team FINLAND *ROOKIE*","Sports Trading Card",,"https://www.ebay.com/itm/314242979907",,,,,,
,,,,,"Evansdale, Iowa, United States","402724382196",,"350","US $350.00","kyle4624",,"","1989 Fleer # 616 Billy Ripken F**K Face Beckett 9.5 FF GEM MINT","Sports Trading Card","Does not apply","https://www.ebay.com/itm/402724382196",,,"Ships from United States",,,
,,,,,"SEOUL, SONGPAGU, Korea, South","234796351816",,"999","US $999.00","lets-card",,"","2021 PANINI PHOENIX NFL DEZ FITPATRICK RPS ROOKIE DUAL TAG RC AUTO 1/1 LTE","Sports Trading Card",,"https://www.ebay.com/itm/234796351816",,,,,,
,,,,,"Livingston, New Jersey, United States","125579947818",,"599","US $599.00","chasingmilo",,"","Autographed Hulk Hogan 1985 Topps Rookie Card PSA 10 Signature Signed  Grade","Sports Trading Card",,"https://www.ebay.com/itm/125579947818",,,"Returns accepted","Ships from United States",,
,,,,,"Zhanjiang, Guangdong, China","353875619333",,"999","US $999.00","tian-2740",,"","2020-21 Panini White Mosaic #207 Cole Anthony RC 24/25 BGN 9 perfect psa10","Sports Trading Card",,"https://www.ebay.com/itm/353875619333",,,,,,
,,,,,"Columbus, Georgia, United States","284475087580",,"999.99","US $999.99","gahazzard24",,"","Huge Lot Of Vintage 80's Baseball Cards 5,000-10,000 Read Description. UNSORTED","Sports Trading Card",,"https://www.ebay.com/itm/284475087580",,,"Ships from United States",,,
,,,,,"Willimantic, Connecticut, United States","275285021694",,"1000","US $1,000.00","ek9ferio",,"","2016 Panini Prizm Jalen Ramsey Red/white/blue Disco MINT PSA 10 POP 2","Sports Trading Card",,"https://www.ebay.com/itm/275285021694",,,"Ships from United States",,,
,,,,,"Athens, Ohio, United States","114697502773",,"999.99","US $999.99","dhauthentics101",,"","2012 Panini Prizm Anthony Davis Auto BGS 9.5 w/ two 10’s Rookie RC","Sports Trading Card",,"https://www.ebay.com/itm/114697502773",,,"Ships from United States","24 watchers",,
,,,,,"Burnsville, North Carolina, United States","155187346291",,"1000","US $1,000.00","julilewis2013",,"","2021 Select Prizm GOLD #1 Tom Brady Concourse 03/10 PSA 9 True Gold Buccaneers","Sports Trading Card","Does not apply","https://www.ebay.com/itm/155187346291",,,"Ships from United States","13 watchers",,
,,,,,"Victoria, British Columbia, Canada","255160720452",,"999.99","US $999.99","2011kl2011",,"","2018 Bowman Chrome Nick Madrigal Blue Wave Refractor Auto 51/150 PSA 10 pop 9",,,"https://www.ebay.com/itm/255160720452",,,,,,
,,,,,"Rosedale, New York, United States","203635933444",,"999.99","US $999.99","soccerstan-the-man",,"","1987 Panini Spanish Supersport, RARE CARD DIEGO MARADONA #107, PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/203635933444",,,"Ships from United States",,,
,,,,,"Saint Leonard, Maryland, United States","385066508158",,"980","US $980.00","1980s1990sartcards",,"","Nolan Ryan 2 Very Rare Error Cards from 1990 Donruss King of Kings See Pics!!!!!","Sports Trading Card",,"https://www.ebay.com/itm/385066508158",,,"Sale benefits charity","Ships from United States",,
,,,,,"Dyer, Indiana, United States","165680127396",,"999","US $999.00","wayne_premier",,"","2019-20 Donruss Zion Williamson 201 Press Proof Blue Laser Rated Rookie BGS 9.5","Sports Trading Card",,"https://www.ebay.com/itm/165680127396",,,"Ships from United States",,,
,,,,,"Port Jervis, New York, United States","363528129415",,"999.99","US $999.99","goodies_from_ny",,"","MICHAEL JORDAN 1996-97 SKYBOX/ NBA HOOPS- GOLD FOIL ACTION SSP- #20 NO COMPS!","Sports Trading Card",,"https://www.ebay.com/itm/363528129415",,,"Ships from United States",,,
,,,,,"Rockwall, Texas, United States","225265426794",,"989.99","US $989.99","bbc2gpkcollector",,"","1968 Topps Rookie Stars Johnny Bench #247 BVG 8","Sports Trading Card",,"https://www.ebay.com/itm/225265426794",,,"Ships from United States",,,
,,,,,"Siu Sai Wan, Hong Kong","204106140346",,"1000","US $1,000.00","waitak",,"","2020 Topps Chrome Formula 1 Racing #20 Nicholas Latifi 70TH Red Refractor PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/204106140346",,,,,,
,,,,,"Saint-Leonard, Quebec, Canada","184913865197",,"1350","C $1,350.00","patrick54_2009",,"","1969 Pele 1000 Goal PSA 6  Population 2. Only 2 Higher Extremely Rare. Read Info","Sports Trading Card",,"https://www.ebay.com/itm/184913865197",,,,,,
,,,,,"Siu Sai Wan, Hong Kong","115608934848",,"1000","US $1,000.00","waitak",,"","2018-19 Panini Immaculate #28 Edson Alvarez RC Gold 2/10 PSA 9 Mexico","Sports Trading Card",,"https://www.ebay.com/itm/115608934848",,,"5 watchers",,,
,,,,,"Aurora, Ontario, Canada","363281631128",,"1350","C $1,350.00","brmor4643",,"","1958 Cadet Sweets Footballers Title 28mm Bobby Charlton TRUE ROOKIE RC PSA 8 #25","Sports Trading Card",,"https://www.ebay.com/itm/363281631128",,,,,,
,,,,,"Lafayette, Colorado, United States","275576263994",,"987","US $987.00","weselleverything4you",,"","LARRY BIRD  DEAD CENTER 🔥🔥  GEM MINT ROOKIE 1986-87 FLEER #15 RC SGC 9.5 = 10",,,"https://www.ebay.com/itm/275576263994",,,"Ships from United States",,,
,,,,,"Bulverde, Texas, United States","124749461881",,"999.99","US $999.99","jeffsportscardcollector",,"","David Robinson auto Hakeem Olajuwon autograph Alonzo mourning #d/10 BGS 9 Pop1🔥","Sports Trading Card",,"https://www.ebay.com/itm/124749461881",,,"Ships from United States","17 watchers",,
,,,,,"Val-des-Monts, Quebec, Canada","155211275538",,"999.99","US $999.99","daoust7810",,"","BVG 8.5 NM - MT+1975 TOPPS MOSES MALONE (HOF) ROOKIE BASKETBALL CARD - 76ers","Sports Trading Card",,"https://www.ebay.com/itm/155211275538",,,,,,
,,,,,"USA, United States","275430995257",,"999.95","US $999.95","signature.sports",,"","2019 BOWMAN DRAFT CHROME ALEK MANOAH PURPLE REFRACTOR #CDAAM AUTO PSA 10 /250","Sports Trading Card",,"https://www.ebay.com/itm/275430995257",,,"Ships from United States","6 watchers",,
,,,,,"Brooklyn, New York, United States","144274787234",,"997.8","US $997.80","saggydan",,"","Marco van Basten 2015 Panini Select Historic Signatures Orange Prizm /49 PSA 9","Sports Trading Card",,"https://www.ebay.com/itm/144274787234",,,"Ships from United States",,,
,,,,,"Hong Kong, Hong Kong","203991638560",,"999","US $999.00","ysey_63",,"","2019 Panini 1st Year Chronicles Messi Contender Historic Ticket Barcelona PSA 10","Sports Trading Card",,"https://www.ebay.com/itm/203991638560",,,,,,
,,,,,"jakarta, Indonesia","314114898097",,"1000","US $1,000.00","nickharmant_0",,"","MICHAEL JORDAN 1998-99 TOPPS BLACK LABEL BGS 9.5 TRUE GEM WITH SUBS 10","Sports Trading Card","Does not apply","https://www.ebay.com/itm/314114898097",,,"Returns accepted",,,
,,,,,"default, default, Hong Kong","155129951005",,"999.99","US $999.99","chicago.bulls-owner",,"","2012-13 Leaf Metal Scottie Pippen /50 Silver Holo BGS 10 Pristine Auto Autograph","Sports Trading Card",,"https://www.ebay.com/itm/155129951005",,,,,,
